step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
4000,20005,566.3302778157549,9.040915629255625,38.28207472045545,0.9968729754577564,89.21090231873542,55,0,0,0,0,0,0.9912322479859491,2.250086115422541,-0.9999963,-0.9999997,-1,0,0,1,0,0,0
8000,40005,569.5054988726215,-17.095774249868885,129.4315899392304,0.947661407151949,0,5,1,0,0,0,0,0.9965629660115038,2.311921435437635,-0.99999994,-0.99999833,-1,0,1,0,0,0,0
12000,60005,569.6795842870815,26.069153638934477,-139.15737491201,1,89.81065713421981,55,0,0,0,0,0,0.9978961903802201,2.2682464533347155,-0.9999985,-0.9999992,-1,0,0,1,0,0,0
16000,80005,564.9137595961474,-34.10343920753454,-32.653485307542205,0.9864337909660843,0,30,1,0,0,0,0,0.9971216674463542,2.3613400145974333,-1,-0.99999976,-1,0,0,0,0,0,0
20000,100005,572.600822157,43.01368972009196,59.348649357765936,1,89.39157065766074,55,0,0,0,0,0,0.9932396739740081,2.4134702406498616,-0.99999946,-0.99999905,-1,0,0,1,0,0,0
24000,120005,560.3498868534207,-51.01961281096037,166.77446868693372,0.9697730955772219,0,30,1,0,0,0,0,0.9983891714999025,2.353650357899336,-1,-0.99999976,-1,0,0,0,0,0,0
28000,140005,575.1131542802923,59.748151058131626,-99.40925929775806,0.9816397785758948,89.84804564662005,55,0,0,0,0,0,0.9983116182957783,2.426835317491093,-0.99999976,-0.9999988,-1,0,0,1,0,0,0
32000,160005,556.4052639554566,-67.5820409794683,11.414993085707845,1,89.37055251338568,55,0,0,0,0,0,0.9930061390376186,2.4652552938081604,-0.9999634,-1,-1,0,0,1,0,0,0
36000,180005,577.2766833512287,75.57490265567091,114.15461145112623,0.9516168056786071,88.75774831649217,55,0,0,0,0,0,0.9861972035165797,2.3666877505278503,-1,-0.9999988,-1,0,0,1,0,0,0
40000,200005,553.5950882119605,-81.31941133422092,-109.35386361716985,0.977006480063855,88.524409415351,55,0,0,0,0,0,0.9836045490594556,2.4146572946717075,-0.9999278,-1,-1,0,0,1,0,0,0
44000,220005,579.1013037857101,80.78382752935046,39.64058349800135,0.925373918510309,87.75799794638172,55,0,0,0,0,2,0.9750888660709081,2.431116847116807,-1,-0.9999988,-1,0,0,1,0,0,0
48000,240005,552.2390224433675,-74.54610282447572,157.4055567182233,1,86.59868289175864,55,0,0,0,0,0,0.9622075876862071,2.368490330772435,-0.9999331,-1,-1,0,0,1,0,0,0
52000,260005,580.4869571620638,66.66386586625988,-86.4040051502085,0.9198627517762284,0,30,1,0,0,0,0,0.9669826890045317,2.4295865760577935,-1,-0.99941796,-1,0,0,0,0,0,0
56000,280005,552.3982578653804,-58.483344438513754,9.175017854501897,0.9932087842546123,87.3873244795438,55,0,0,0,0,0,0.9709702719949311,2.4277480369396724,-0.99993265,-1,-1,0,0,1,0,0,0
60000,300005,581.2206754797298,50.171440679457085,117.65000789968143,0.929701578051819,0,30,1,0,0,0,0,0.9641089346602456,2.4772286287735636,-0.9999999,-0.99961716,-1,0,0,0,0,0,0
64000,320005,553.8841553305447,-41.64384950552954,-149.91191237961027,1,86.94096788986464,55,0,0,0,0,0,0.9660107543318294,2.3924721681242955,-0.99995536,-1,-1,0,0,1,0,0,0
68000,340005,581.030688545723,33.3441658351626,-43.063201961845394,0.9301225549045617,0,5,1,0,0,0,0,0.9621193976727549,2.3550544403431033,-0.99999976,-0.99976057,-1,0,1,0,0,0,0
72000,360005,556.3347789398795,-24.636312874460298,48.48910001064544,0.9895103661211995,87.05244557289718,55,0,0,0,0,0,0.9672493952544132,2.3573599673797996,-0.9999756,-1,-1,0,0,1,0,0,0
76000,380005,579.6812869271744,16.41260484079634,154.80299929383585,0.9411415864617853,0,5,1,0,0,0,0,0.972174832333117,2.341399368645964,-0.9999999,-0.9999424,-1,0,1,0,0,0,0
80000,400005,559.3303725258902,-7.5818071918668615,-113.94588789809687,1,87.6821309566213,55,0,0,0,0,0,0.9742458995180144,2.331466127610815,-0.9999921,-0.9999999,-1,0,0,1,0,0,0
84000,420005,577.0761793153542,-0.5606351610534657,-22.840444950225027,0.9576721883577396,0,5,1,0,0,0,0,0.978431294387384,2.3025262841809138,-0.9999999,-0.99998796,-1,0,1,0,0,0,0
88000,440005,562.5091529684614,9.471267222346942,83.41673617826996,0.9995534252786333,87.7249078181095,55,0,0,0,0,0,0.9747211979789944,2.297362228309881,-0.9999961,-0.99999964,-1,0,0,1,0,0,0
92000,460005,573.3340898833785,-17.544210335390115,174.57316271574396,0.9515272333071847,0,30,1,0,0,0,0,0.9754319925574376,2.2539762888319004,-0.99999994,-0.99999875,-1,0,0,0,0,0,0
96000,480005,565.6417927043431,26.48809100452181,-78.97065002767876,0.9982983899507419,86.65393831773457,55,0,0,0,0,0,0.9628215368637174,2.2545375495251596,-0.9999987,-0.99999905,-1,0,0,1,0,0,0
100000,500005,568.8041607590685,-34.504878182889634,12.501551657827456,0.9697581020937003,0,30,1,0,0,0,0,0.9677407996955091,2.2265653527248332,-1,-0.9999998,-1,0,0,0,0,0,0
104000,520005,568.6442929869299,43.419501868447,119.56931436749038,0.9805119927848523,86.55000107541112,55,0,0,0,0,0,0.961666678615679,2.237797204386816,-0.9999995,-0.99999887,-1,0,0,1,0,0,0
108000,540005,564.0174561257609,-51.371865552949956,-148.02681794532154,0.9866486402513798,0,30,1,0,0,0,0,0.9585471953927822,2.1582986223941676,-1,-0.99999964,-1,0,0,0,0,0,0
112000,560005,571.534128363418,60.13423471531185,-39.077400866136855,0.9608450488620996,86.17269559814801,55,0,0,0,0,0,0.9574743955349778,2.232086978582536,-0.9999999,-0.9999988,-1,0,0,1,0,0,0
116000,580005,559.5784574662985,-67.87761475934101,56.78777064059523,0.9962614063383143,85.78447653029362,55,0,0,0,0,0,0.9531608503365958,2.3638171396996257,-0.999979,-1,-1,0,0,1,0,0,0
120000,600005,574.3415811139466,75.8983979918956,160.09327056978526,0.9436589902011715,85.7135944217093,55,0,0,0,0,0,0.9523732713523255,2.280008080151639,-1,-0.9999988,-1,0,0,1,0,0,0
124000,620005,556.0332518948326,-81.43742913226457,-62.617599500735764,1,86.32410547087363,55,0,0,0,0,0,0.9591567274541515,2.306633153337653,-0.999928,-1,-1,0,0,1,0,0,0
128000,640005,577.0252086401915,80.58077327634672,86.63194736871641,0.9210678272196454,87.15244739958942,55,0,0,0,0,0,0.9683605266621046,2.3306054643612524,-1,-0.9999984,-1,0,0,1,0,0,0
132000,660005,553.7521206088231,-74.33957376578613,-142.02835081471127,1,87.22504144782677,55,0,0,0,0,0,0.9691671271980752,2.31684980701191,-0.9999224,-1,-1,0,0,1,0,0,0
136000,680005,579.418420130005,66.33383879947668,-41.03077129616687,0.9154423658015256,0,30,1,0,0,0,0,0.9704319781513961,2.312781561496938,-1,-0.9989357,-1,0,0,0,0,0,0
140000,700005,552.8632632853696,-58.282417112902976,69.39295237773823,1,88.13091187799601,55,0,0,0,0,0,0.9792323541999557,2.2499042749816383,-0.9999243,-1,-1,0,0,1,0,0,0
144000,720005,581.2326229708415,49.85197346250419,162.83151518041822,0.9203383249773085,0,5,1,0,0,0,0,0.989177492890679,2.329571629130654,-0.99999994,-0.99949896,-1,0,1,0,0,0,0
148000,740005,553.2561414093998,-41.464714133535,-89.75243131318477,1,89.06117347068333,55,0,0,0,0,0,0.9895685941187037,2.3341590665637395,-0.9999522,-1,-1,0,0,1,0,0,0
152000,760005,582.1165018686752,33.0496691517479,2.0688481239173346,0.9380403425124003,0,5,1,0,0,0,1,0.9859889009978583,2.423538747732024,-0.99999994,-0.99974924,-1,0,1,0,0,0,0
156000,780005,554.6513416638682,-24.476440577457666,93.58993100922333,1,88.17290977834875,55,0,0,0,0,0,0.9796989975372083,2.4395554850405423,-0.99997455,-1,-1,0,0,1,0,0,0
160000,800005,581.757351330295,16.149486957072284,-160.08359980803928,0.9523991106471753,0,5,1,0,0,0,0,0.9767937413318072,2.3770632116536676,-0.99999976,-0.99993545,-1,0,1,0,0,0,0
164000,820005,556.7091642973965,-7.4371794242712,-68.85140339526286,1,88.10166206652679,55,0,0,0,0,0,0.9789073562947421,2.41279367967062,-0.99999136,-1,-1,0,0,1,0,0,0
168000,840005,579.9890454523829,-0.7876038062892482,37.30599823946282,0.9246964267448077,0,5,1,0,0,0,0,0.9658151124212516,2.4119724253756547,-0.9999999,-0.99998915,-1,0,1,0,0,0,0
172000,860005,559.1390333383606,9.604040530355487,128.50977584452383,1,86.958311366736,55,0,0,0,0,0,0.9662034596304,2.3912353045284376,-0.99999607,-0.99999946,-1,0,0,1,0,0,0
176000,880005,576.8722198520945,-17.73124168529947,-125.28323494618755,0.9624657917880977,0,5,1,0,0,0,0,0.965826978250811,2.345091842486817,-1,-0.9999987,-1,0,1,0,0,0,0
180000,900005,561.7693456589095,26.611538813656598,-33.87513469863817,0.9906616276147295,86.27531311551022,55,0,0,0,0,0,0.9586145901723357,2.3873232229420704,-0.9999986,-0.9999988,-1,0,0,1,0,0,0
184000,920005,572.7110042122995,-34.64970358796679,72.64632126648416,0.9789487864431409,0,30,1,0,0,0,0,0.961884695470355,2.403624705028234,-1,-0.9999998,-1,0,0,0,0,0,0
188000,940005,564.5546870264625,43.53547214003099,164.67406036876028,1,86.35811006380666,55,0,0,0,0,0,0.9595345562645186,2.4147453832939485,-0.9999995,-0.9999987,-1,0,0,1,0,0,0
192000,960005,568.005780907456,-51.47381285120848,-102.91606090009998,0.9928069202288997,0,55,1,0,0,0,0,0.9605719407494104,2.4676443741023193,-0.99998665,-1,-1,0,0,1,0,0,0
196000,980005,567.525669374183,60.24199659092434,6.058362784420574,0.9689512470280475,87.18921156547091,55,0,0,0,0,3,0.9687690173941212,2.4123106412446034,-0.9999999,-0.9999988,-1,0,0,1,0,0,0
200000,1000005,563.3512839706382,-67.93609012315828,101.9221681245758,0.983336125581569,86.75613425163374,55,0,0,0,0,0,0.9639570472403749,2.272784421832345,-0.9999787,-1,-1,0,0,1,0,0,0
204000,1020005,570.7069128334533,75.98563436580966,-139.5499957693718,0.9448732107559394,86.74692077490754,55,0,0,0,0,0,0.9638546752767504,2.190222232076241,-1,-0.99999803,-1,0,0,1,0,0,0
208000,1040005,559.3063442921484,-81.44683727482588,-17.404303866614807,1,87.00846248450594,55,0,0,0,0,0,0.9667606942722882,2.150979839404958,-0.9999291,-1,-1,0,0,1,0,0,0
212000,1060005,574.0290987770613,80.5264963919002,147.23088076391113,0.9402703081610548,87.65383451902126,55,0,0,0,0,0,0.9739314946557918,2.0743512711205883,-1,-0.9999978,-1,0,0,1,0,0,0
216000,1080005,556.2760266165915,-74.35178309578676,-96.98014931323064,0.9971044104533701,87.92096763738229,55,0,0,0,0,0,0.9768996404153588,2.168175135651035,-0.9999147,-1,-1,0,0,1,0,0,0
220000,1100005,577.2774039827709,66.25455984882444,19.155273772627204,0.9276050562780754,0,30,1,0,0,0,3,0.9766390696295624,2.201850173473033,-1,-0.9990258,-1,0,0,0,0,0,0
224000,1120005,554.4428726082278,-58.32766130979626,114.44442891331883,0.9937972392000525,87.86456516569811,55,0,0,0,0,0,0.9762729462855346,2.141037190259295,-0.9999182,-1,-1,0,0,1,0,0,0
228000,1140005,580.0998621517438,49.785283113741855,-152.07187502426,0.9341418285477239,0,5,1,0,0,0,0,0.982848041085595,2.082401992378333,-0.9999999,-0.999143,-1,0,1,0,0,0,0
232000,1160005,553.7680743726869,-41.53837461985429,-44.69605867820154,0.979076968824064,87.765661832772,55,0,0,0,0,0,0.9751740203641334,2.1712864077526133,-0.9999542,-1,-1,0,0,1,0,0,0
236000,1180005,582.0722470982764,33.00272997858612,47.15243528607344,0.9362215981056681,0,5,1,0,0,0,0,0.9782784433551753,2.170005650395558,-0.9999998,-0.9996484,-1,0,1,0,0,0,0
240000,1200005,554.0525843856376,-24.57342295289557,153.6894151020139,0.9975923490995517,88.93236211348015,55,0,0,0,0,0,0.9881373568164462,2.154751302645415,-0.99997836,-0.99999994,-1,0,0,1,0,0,0
244000,1220005,582.8042590463756,16.127796237418483,-115.00595333293455,0.936767739121979,0,5,1,0,0,0,0,0.9916751210350483,2.159990098894838,-0.99999976,-0.99993277,-1,0,1,0,0,0,0
248000,1240005,555.0404917578253,-7.552478770364702,-8.751901347934998,1,88.08962636278785,55,0,0,0,0,0,0.9787736262531984,2.125053104455731,-0.99999166,-0.9999999,-1,0,0,1,0,0,0
